,Equity,Issue price,Listed Date,Open,Close,Listing Gains (%ge),CMP,Current gains %ge
246,Tirupati Forge,29.0,12th Oct,71.55,21.31,-26.52,26.1,-10.0
247,Reliable Data S,57.0,11th Oct,61.0,57.0,0.0,23.75,-58.33
248,Jash Engineerin,120.0,11th Oct,198.6,144.0,20.0,286.3,138.58
249,IRIS Business S,32.0,11th Oct,66.05,,,31.85,-0.47
250,Goldstar Power,25.0,10th Oct,38.05,26.3,5.2,21.1,-15.6
251,Mehai Technolog,40.0,9th Oct,77.5,,,104.5,161.25
252,RKEC Projects,45.0,9th Oct,150.4,54.0,20.0,60.95,35.44
253,Jet Knitwears,39.0,7th Oct,46.8,,,19.8,-49.23
254,Vanta Bioscienc,50.0,6th Oct,69.0,,,161.1,222.2
255,Airo Lam,38.0,6th Oct,45.95,45.6,20.0,27.0,-28.95
256,Trident Texofab,30.0,5th Oct,89.35,,,26.9,-10.33
257,Share India Sec,41.0,5th Oct,86.5,,,260.2,534.63
258,Innovative Tyre,45.0,5th Oct,43.45,47.15,4.78,8.4,-81.33
259,Prataap Snacks,938.0,5th Oct,1250.0,1178.3,25.62,615.95,-34.33
260,D P Wires,75.0,5th Oct,75.5,75.0,0.0,106.0,41.33
261,Aarvi Encon,54.0,5th Oct,111.0,54.5,0.93,50.95,-5.65
262,R M Drip & Spri,57.0,4th Oct,72.0,58.8,3.16,22.1,-61.23
263,SBI Life Insura,700.0,3rd Oct,735.0,708.0,1.14,871.0,24.43
264,Madhya Pradesh,66.0,29th Sep,130.6,79.2,20.0,19.0,-71.21
265,Worth Periphera,43.0,27th Sep,113.25,51.6,20.0,50.75,18.02
266,ICICI Lombard,661.0,27th Sep,651.0,681.55,3.11,,110.29
267,Baba Agro Food,55.0,26th Sep,46.5,49.0,-10.91,70.0,27.27
268,Capacite Infra,250.0,25th Sep,360.0,342.4,36.96,193.35,-22.66
269,Matrimony.com,985.0,21st Sep,985.0,901.2,-8.51,918.5,-6.75
270,Bharat Road Net,205.0,18th Sep,205.0,208.15,1.54,28.9,-85.9
271,Manav Infra Pro,30.0,18th Sep,21.0,24.0,-20.0,4.9,-83.67
272,Dixon Technolog,1766.0,18th Sep,2725.0,578.56,-67.24,,90.35
273,Nouritrans Exim,30.0,15th Sep,10.71,,,0.98,-96.73
274,A & M Febcon,18.0,14th Sep,13.25,,,1.74,-90.33
275,ANG Lifescience,80.0,8th Sep,79.0,,,85.05,6.31
276,Pashupati Cotsp,75.0,8th Sep,74.6,75.0,0.0,80.25,7.0
277,Shish Industrie,30.0,5th Sep,29.9,14.98,-50.07,36.2,20.67
278,Apex Frozen,175.0,4th Sep,202.0,209.85,19.91,208.15,18.94
279,Geekay Wires,33.0,24th Aug,36.75,33.25,0.76,77.15,133.79
280,Servotech Power,31.0,24th Aug,39.0,31.85,2.74,20.2,-34.84
281,Vaishali Pharma,72.0,22nd Aug,49.75,70.35,-2.29,35.25,-51.04
282,CHOTHANI FOODS,10.0,22nd Aug,10.95,,,3.85,-61.5
283,Cochin Shipyard,432.0,11th Aug,461.0,522.0,20.83,348.45,-19.34
284,SIS,815.0,10th Aug,875.0,378.35,-53.58,392.8,-51.8
285,Globalspace Tec,66.0,7th Aug,65.0,65.65,-0.53,62.5,-5.3
286,Keerti Knowledg,52.0,7th Aug,45.0,16.53,-68.21,24.0,-53.85
287,Total Transport,45.0,7th Aug,68.45,54.0,20.0,44.6,-0.89
288,Shanti Overseas,50.0,3rd Aug,41.45,28.6,-42.8,23.5,-53.0
289,Captain Technoc,40.0,1st Aug,43.0,24.0,-40.0,26.0,-35.0
290,Jigar Cables,30.0,28th Jul,50.0,36.0,20.0,35.5,18.33
291,Univastu India,40.0,27th Jul,57.6,20.1,-49.75,34.3,-14.25
292,Salasar Techno,108.0,25th Jul,259.45,272.1,151.94,359.0,232.41
293,Shrenik,40.0,18th Jul,551.8,1.6,-96.0,1.9,-95.25
294,7NR Retail,27.0,18th Jul,25.9,,,6.87,-74.56
295,Bansal Multifle,31.0,12th Jul,37.0,35.7,15.16,1.95,-93.71
296,Transwind Infra,27.0,12th Jul,38.0,32.4,20.0,7.2,-73.33
297,Gautam Exim,40.0,11th Jul,46.0,43.85,9.63,22.3,-44.25
298,AU Small Financ,358.0,10th Jul,544.0,541.2,51.17,,220.78
299,Pushpanjali Rea,55.0,10th Jul,93.0,55.45,0.82,5.05,-90.82
300,Accord Synergy,60.0,6th Jul,56.5,,,19.8,-67.0
301,GTPL Hathway,170.0,4th Jul,170.0,171.65,0.97,111.35,-34.5
302,CDSL,149.0,30th Jun,250.0,261.6,75.57,616.6,313.83
303,Eris Life,603.0,29th Jun,612.0,601.05,-0.32,581.15,-3.62
304,Tejas Networks,257.0,27th Jun,257.7,263.3,2.45,160.0,-37.74
305,Globe Textiles,51.0,23rd Jun,46.9,50.15,-1.67,50.0,-1.96
306,Shri Ram Switch,19.0,7th Jun,22.5,22.8,20.0,15.8,-16.84
307,IndiGrid InvIT,100.0,6th Jun,99.7,98.45,-1.55,135.99,35.99
308,Sov Gold SR- I,2.0,2nd Jun,3.0,,,,226525.0
309,Jalan Transolut,46.0,31st May,43.1,41.95,-8.8,3.7,-91.96
310,PSP Projects,210.0,29th May,195.0,208.95,-0.5,460.05,119.07
311,HUDCO,58.0,19th May,76.5,72.5,25.0,44.4,-23.45
312,Meera Industrie,36.0,15th May,227.0,,,81.9,127.5
313,Zota Health Car,125.0,10th May,220.65,89.71,-28.23,145.0,16.0
314,CKP Products,50.0,9th May,75.0,50.15,0.3,22.2,-55.6
315,S Chand and Co,670.0,9th May,675.85,675.85,0.87,110.2,-83.55
316,Starlineps Ent.,13.0,8th May,16.1,,,39.8,206.15
317,InfoBeans Tech,58.0,2nd May,81.4,69.6,20.0,139.9,141.21
318,Panache Digilif,81.0,25th Apr,96.0,85.75,5.86,65.25,-19.44
319,KMS Medisurgi,30.0,24th Apr,30.15,,,33.5,11.67
320,Sikko Industrie,32.0,18th Apr,38.4,,,19.4,-39.38
321,ASL Industries,35.0,18th Apr,35.1,,,16.0,-54.29
322,Escorp Asset Ma,15.0,17th Apr,15.5,,,16.25,8.33
323,Dev Information,42.0,17th Apr,83.8,50.4,20.0,127.75,204.17
324,Focus Lighting,45.0,13th Apr,158.55,54.0,20.0,24.0,-46.67
325,Creative Periph,75.0,12th Apr,98.0,83.25,11.0,105.45,40.6
326,Relstruct Build,50.0,5th Apr,37.0,46.75,-6.5,3.2,-93.6
327,Shankara Buildi,460.0,5th Apr,545.0,632.8,37.57,424.0,-7.83
328,Bohra Industrie,55.0,5th Apr,42.05,57.85,5.18,1.5,-97.27
329,CL Educate,500.0,31st Mar,398.0,417.9,-16.42,84.0,-83.2
330,Oceanic Foods,65.0,31st Mar,65.0,21.73,-66.57,57.9,-10.92
331,Prime Fresh,60.0,31st Mar,195.2,60.5,0.83,124.0,106.67
332,Laxmi Cotspin,20.0,31st Mar,21.0,19.9,-0.5,9.0,-55.0
333,Euro India Fres,78.0,31st Mar,150.4,89.85,15.19,82.0,5.13
334,Manas Propertie,360.0,30th Mar,370.0,,,440.0,22.22
335,Maximus Interna,25.0,30th Mar,38.0,,,124.5,398.0
336,Manomay Tex Ind,30.0,28th Mar,59.85,31.95,6.5,33.0,10.0
337,Chemcrux Enterp,18.0,28th Mar,21.6,21.6,20.0,140.1,678.33
338,Jash Dealmark,40.0,27th Mar,39.8,19.03,-52.43,11.5,-71.25
339,Airan,45.0,24th Mar,201.0,5.39,-88.02,16.1,-64.22
340,Nandani Creatio,28.0,21st Mar,42.0,17.22,-38.5,25.15,-10.18
341,Avenue Supermar,299.0,21st Mar,604.0,640.75,114.3,,837.99
342,IFL Enterprises,20.0,21st Mar,10.05,,,21.0,5.0
343,Music Broadcast,333.0,17th Mar,413.0,59.7,-82.07,23.35,-92.99
344,Akash Infraproj,125.0,15th Mar,70.05,64.08,-48.74,199.25,59.4
345,RMC Switchgears,27.0,14th Mar,69.0,,,16.2,-40.0
346,Nitiraj Enginee,100.0,9th Mar,76.0,75.6,-24.4,47.85,-52.15
347,Global Educatio,150.0,2nd Mar,233.0,43.9,-70.73,41.9,-72.07
348,Tanvi Foods,60.0,2nd Mar,68.5,,,48.0,-20.0
