,Equity,Issue price,Open,Close,Listing Gains (%ge),CMP,Current gains %ge,Chg Open to Close,% Chg Open to Close,Date,NiftyOpen,NiftyHigh,NiftyLow,NiftyClose,Volume,INR,Day
24,Sun Retail,23.0,36.0,37.8,64.35,28.5,23.91,1.7999999999999972,4.999999999999992,2020-10-16,11804.25,11867.2,11744.1,11843.35,716895894,73.3085,5
25,Gensol Engineer,83.0,85.4,86.25,3.92,87.5,5.42,0.8499999999999943,0.9953161592505788,2020-10-15,12089.55,12091.05,11738.7,11758.2,791428317,73.475,4
26,Galactico Corp,27.0,23.2,23.05,-14.63,40.25,49.07,-0.14999999999999858,-0.6465517241379249,2020-10-09,11944.5,12014.95,11897.4,11990.7,827498785,73.0805,5
27,Sterling & Wils,780.0,700.0,725.35,-7.01,273.0,-65.0,25.350000000000023,3.6214285714285745,2020-08-20,11478.5,11524.65,11451.5,11479.0,1061535618,75.0987,4
28,Anand Rayons,27.0,28.25,27.2,0.74,31.5,16.67,-1.0500000000000007,-3.716814159292038,2020-07-02,10656.45,10757.8,10650.3,10716.1,843593478,74.7422,4
29,RITES,185.0,190.0,170.16,-8.02,240.5,30.0,-19.840000000000003,-10.442105263157897,2020-07-02,10656.45,10757.8,10650.3,10716.1,843593478,74.7422,4
30,Parshva Enterpr,45.0,45.85,46.0,2.22,95.9,113.11,0.14999999999999858,0.327153762268263,2020-07-01,10511.9,10615.15,10482.35,10598.9,781060066,75.5554,3
31,Artemis,60.0,70.0,69.85,16.42,43.7,-27.17,-0.15000000000000568,-0.2142857142857224,2020-05-14,9396.85,9465.85,9310.05,9333.1,1170951485,75.6042,4
32,Evans Electric,52.0,52.2,54.8,5.38,285.0,448.08,2.5999999999999943,4.980842911877383,2020-05-13,9752.35,9752.45,9518.8,9552.65,1710074994,75.2943,3
33,G K P Printing,32.0,34.2,35.0,9.38,31.5,-1.56,0.7999999999999972,2.339181286549699,2020-05-08,9522.65,9528.35,9395.45,9408.65,1011497649,75.5893,5
34,V R Films,61.0,62.0,60.0,-1.64,123.0,101.64,-2.0,-3.225806451612903,2020-04-30,9906.05,10031.95,9883.55,10006.9,1643801529,75.0375,4
35,Embassy Office,300.0,300.0,314.1,4.7,325.35,8.45,14.100000000000023,4.700000000000007,2020-04-01,8722.1,8725.7,8351.75,8404.15,910933088,76.4451,3
36,Aartech Solonic,34.0,33.95,34.6,1.76,37.0,8.82,0.6499999999999986,1.9145802650957247,2020-03-27,9032.45,9135.85,8614.35,8747.05,1309947851,75.4938,5
37,Ashapuri Gold,51.0,50.0,51.0,0.0,45.0,-11.76,1.0,2.0,2020-03-27,9032.45,9135.85,8614.35,8747.05,1309947851,75.4938,5
38,Bandhan Bank,375.0,485.0,477.2,27.25,345.05,-7.99,-7.800000000000011,-1.6082474226804149,2020-03-27,9032.45,9135.85,8614.35,8747.05,1309947851,75.4938,5
39,Mahip Industrie,32.0,32.0,33.6,5.0,3.8,-88.13,1.6000000000000014,5.000000000000004,2020-03-12,10160.05,10160.75,9614.55,9693.95,2531991495,74.2598,4
40,Gleam Fabmat,10.0,9.0,8.55,-14.5,1.73,-82.7,-0.4499999999999993,-4.999999999999992,2020-03-05,11430.1,11515.55,11371.5,11397.9,1954755189,73.4361,4
41,Kranti Industri,37.0,35.25,36.95,-0.14,18.5,-50.0,1.7000000000000028,4.822695035461002,2020-02-28,11495.6,11497.9,11288.4,11316.3,1546581871,72.2283,5
42,Jonjua Overseas,10.0,12.0,10.71,7.1,67.0,570.0,-1.2899999999999991,-10.749999999999993,2020-02-25,12007.3,12018.45,11900.6,11917.3,1278186416,71.7011,2
43,Chalet Hotels,280.0,291.0,290.4,3.71,155.1,-44.61,-0.6000000000000227,-0.2061855670103171,2020-02-07,12286.85,12290.15,12223.7,12249.25,839983098,71.44,5
44,Ritco Logistics,73.0,77.4,73.55,0.75,16.5,-77.4,-3.8500000000000085,-4.974160206718357,2020-02-07,12286.85,12290.15,12223.7,12249.25,839983098,71.44,5
45,Xelpmoc Design,66.0,56.0,58.8,-10.91,265.1,301.67,2.799999999999997,4.999999999999995,2020-02-04,11900.05,12099.35,11898.9,12091.0,902955660,71.2455,2
46,Axita Cotton,60.0,61.0,31.05,-48.25,34.0,-43.33,-29.95,-49.09836065573771,2020-01-10,12372.0,12412.95,12316.6,12359.7,939484313,70.9508,5
47,Brand Concepts,45.0,77.5,54.0,20.0,27.5,-38.89,-23.5,-30.32258064516129,2020-01-10,12372.0,12412.95,12316.6,12359.7,939484313,70.9508,5
48,Deccan Health C,100.0,113.4,113.4,13.4,30.0,-70.0,0.0,0.0,2020-12-31,14080.8,14127.6,14048.1,14090.75,801448184,73.067,4
49,Roni Households,20.0,20.05,20.5,2.5,65.0,225.0,0.4499999999999993,2.2443890274314175,2020-12-03,13342.75,13342.95,13252.35,13280.5,1078581766,73.8285,4
50,Shree Krishna,13.0,12.35,12.35,-5.0,7.41,-43.0,0.0,0.0,2020-12-03,13342.75,13342.95,13252.35,13280.5,1078581766,73.8285,4
51,Vivid Mercant,51.0,53.0,40.48,-20.63,16.8,-67.06,-12.520000000000003,-23.62264150943397,2020-10-23,12029.4,12045.35,11985.15,12006.1,687236336,73.6543,5
52,S.M. Gold,30.0,30.6,20.33,-32.23,33.2,10.67,-10.270000000000003,-33.56209150326798,2020-10-19,11953.75,11970.45,11896.1,11952.9,726821093,73.3089,1
